"filename", "language", "JavaScript", "XML", "HTML", "Vue.js", "CSS", "JSON", "TypeScript", "SCSS", "comment", "blank", "total"
"d:\20232024\task\pages\Lineage_front\src\common\map\points.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 4, 0, 45
"d:\20232024\task\pages\Lineage_front\src\common\map\putuo.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 23, 1, 48
"d:\20232024\task\pages\Lineage_front\src\common\map\tuo3.json", "JSON", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 79
"d:\20232024\task\pages\Lineage_front\src\common\map\tupuo.json", "JSON", 0, 0, 0, 0, 0, 2096, 0, 0, 0, 0, 2096
"d:\20232024\task\pages\Lineage_front\src\components\HelloWorld.vue", "Vue.js", 0, 0, 0, 55, 0, 0, 0, 0, 1, 3, 59
"d:\20232024\task\pages\Lineage_front\src\components\echarts\FindGenderAge.vue", "Vue.js", 0, 0, 0, 99, 0, 0, 0, 0, 2, 4, 105
"d:\20232024\task\pages\Lineage_front\src\components\echarts\Map.vue", "Vue.js", 0, 0, 0, 94, 0, 0, 0, 0, 2, 4, 100
"d:\20232024\task\pages\Lineage_front\src\components\echarts\TopFiveBar.vue", "Vue.js", 0, 0, 0, 68, 0, 0, 0, 0, 2, 3, 73
"d:\20232024\task\pages\Lineage_front\src\components\echarts\bottom\bottomLeftChart\chart.vue", "Vue.js", 0, 0, 0, 142, 0, 0, 0, 0, 1, 2, 145
"d:\20232024\task\pages\Lineage_front\src\components\echarts\bottom\bottomLeftChart\index.vue", "Vue.js", 0, 0, 0, 138, 0, 0, 0, 0, 1, 2, 141
"d:\20232024\task\pages\Lineage_front\src\components\echarts\bottom\bottomRightChart\chart.vue", "Vue.js", 0, 0, 0, 349, 0, 0, 0, 0, 2, 3, 354
"d:\20232024\task\pages\Lineage_front\src\components\echarts\bottom\bottomRightChart\index.vue", "Vue.js", 0, 0, 0, 77, 0, 0, 0, 0, 7, 6, 90
"d:\20232024\task\pages\Lineage_front\src\components\echarts\centerLeft\centerLeft1Chart\chart.vue", "Vue.js", 0, 0, 0, 74, 0, 0, 0, 0, 0, 2, 76
"d:\20232024\task\pages\Lineage_front\src\components\echarts\centerLeft\centerLeft1Chart\index.vue", "Vue.js", 0, 0, 0, 30, 0, 0, 0, 0, 0, 2, 32
"d:\20232024\task\pages\Lineage_front\src\components\echarts\centerLeft\centerLeft2Chart\chart.vue", "Vue.js", 0, 0, 0, 268, 0, 0, 0, 0, 16, 2, 286
"d:\20232024\task\pages\Lineage_front\src\components\echarts\centerLeft\centerLeft2Chart\index.vue", "Vue.js", 0, 0, 0, 61, 0, 0, 0, 0, 2, 2, 65
"d:\20232024\task\pages\Lineage_front\src\components\echarts\centerRight\centerRightChart\chart.vue", "Vue.js", 0, 0, 0, 129, 0, 0, 0, 0, 1, 2, 132
"d:\20232024\task\pages\Lineage_front\src\components\echarts\centerRight\centerRightChart\index.vue", "Vue.js", 0, 0, 0, 54, 0, 0, 0, 0, 0, 1, 55
"d:\20232024\task\pages\Lineage_front\src\components\echarts\center\centerChartRate\index.vue", "Vue.js", 0, 0, 0, 95, 0, 0, 0, 0, 2, 2, 99
"d:\20232024\task\pages\Lineage_front\src\components\graph6\gongxiang.vue", "Vue.js", 0, 0, 0, 491, 0, 0, 0, 0, 3, 1, 495
"d:\20232024\task\pages\Lineage_front\src\components\graph6\graph.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"d:\20232024\task\pages\Lineage_front\src\components\graph6\guiji.vue", "Vue.js", 0, 0, 0, 354, 0, 0, 0, 0, 5, 1, 360
"d:\20232024\task\pages\Lineage_front\src\components\graph6\mainTree.vue", "Vue.js", 0, 0, 0, 582, 0, 0, 0, 0, 39, 11, 632
"d:\20232024\task\pages\Lineage_front\src\js\alarm.js", "JavaScript", 281, 0, 0, 0, 0, 0, 0, 0, 0, 2, 283
"d:\20232024\task\pages\Lineage_front\src\js\flowcharts.js", "JavaScript", 310, 0, 0, 0, 0, 0, 0, 0, 49, 18, 377
"d:\20232024\task\pages\Lineage_front\src\js\fusion.js", "JavaScript", 150, 0, 0, 0, 0, 0, 0, 0, 2, 16, 168
"d:\20232024\task\pages\Lineage_front\src\js\home.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 10, 0, 116
"d:\20232024\task\pages\Lineage_front\src\js\imputation.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 0, 3, 1, 111
